0;20120529T0100;80
0;20120529T0200;80
0;20120529T0300;80
0;20120529T0400;80
0;20120529T0500;80
0;20120529T0600;400
0;20120529T0700;670
0;20120529T0800;800
0;20120529T0900;860
0;20120529T1000;860
0;20120529T1100;860
0;20120529T1200;860
0;20120529T1300;770
0;20120529T1400;770
0;20120529T1500;500
0;20120529T1600;500
0;20120529T1700;500
0;20120529T1800;500
0;20120529T1900;600
0;20120529T2000;820
0;20120529T2100;820
0;20120529T2200;820
0;20120529T2300;610
0;20120529T2400;80
1;20120529T0100;40
1;20120529T0200;40
1;20120529T0300;40
1;20120529T0400;40
1;20120529T0500;70
1;20120529T0600;70
1;20120529T0700;70
1;20120529T0800;120
1;20120529T0900;160
1;20120529T1000;140
1;20120529T1100;140
1;20120529T1200;140
1;20120529T1300;70
1;20120529T1400;70
1;20120529T1500;70
1;20120529T1600;70
1;20120529T1700;70
1;20120529T1800;70
1;20120529T1900;140
1;20120529T2000;140
1;20120529T2100;140
1;20120529T2200;140
1;20120529T2300;140
1;20120529T2400;0
2;20120529T0100;80
2;20120529T0200;80
2;20120529T0300;80
2;20120529T0400;80
2;20120529T0500;80
2;20120529T0600;400
2;20120529T0700;600
2;20120529T0800;680
2;20120529T0900;700
2;20120529T1000;720
2;20120529T1100;720
2;20120529T1200;720
2;20120529T1300;700
2;20120529T1400;700
2;20120529T1500;430
2;20120529T1600;430
2;20120529T1700;430
2;20120529T1800;430
2;20120529T1900;460
2;20120529T2000;680
2;20120529T2100;680
2;20120529T2200;680
2;20120529T2300;470
2;20120529T2400;80
